,Datetime,bs_test,bss1,bss2,Open,High,Low,Close,Volume,uptrend,bar_no,buysell,ret,count_no,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30
0,2023-03-23 17:00:00,,,,12872.0,12881.0,12868.25,12874.5,788,True,1.0,,,0,,,,,0,0
1,2023-03-23 17:02:00,,,,12874.75,12875.0,12868.25,12869.75,328,True,1.0,,,1,,,,,0,0
2,2023-03-23 17:04:00,,,,12869.75,12871.5,12868.0,12870.0,248,True,1.0,,,2,,,,,0,0
3,2023-03-23 17:06:00,,,,12870.5,12871.5,12867.25,12870.5,177,True,1.0,,,3,,,,,0,0
4,2023-03-23 17:08:00,,,,12870.25,12871.25,12866.5,12866.5,129,True,1.0,,,4,,,,,0,0
5,2023-03-23 17:10:00,,,,12866.75,12868.0,12863.5,12865.25,198,True,1.0,,,5,,,,,0,0
6,2023-03-23 17:12:00,,,,12865.5,12867.25,12861.0,12862.0,232,True,1.0,,,6,,,,,0,0
7,2023-03-23 17:14:00,,,,12861.75,12863.5,12860.5,12861.25,193,True,1.0,,,7,,,,,0,0
8,2023-03-23 17:16:00,,,,12862.25,12863.5,12850.75,12854.75,466,False,-1.0,,,8,,,,,0,0
9,2023-03-23 17:18:00,Sell,,,12854.5,12855.25,12845.25,12846.0,635,False,-3.0,Sell,Sell,9,,,,,0,0
10,2023-03-23 17:20:00,Sell,Sell,,12846.0,12850.25,12846.0,12848.0,342,False,-3.0,Sell,Sell,10,,,,,0,0
11,2023-03-23 17:22:00,Sell,Sell,Sell,12848.5,12848.75,12844.75,12847.5,251,False,-3.0,Sell,Sell,11,,,,,0,0
12,2023-03-23 17:24:00,Sell,Sell,Sell,12848.25,12848.25,12843.0,12848.0,194,False,-3.0,Sell,Sell,12,,,,,0,0
13,2023-03-23 17:26:00,Sell,Sell,Sell,12848.0,12850.25,12847.5,12848.5,206,False,-3.0,Sell,Sell,13,,,,,0,0
14,2023-03-23 17:28:00,Sell,Sell,Sell,12848.5,12852.25,12846.5,12850.75,242,False,-3.0,Sell,Sell,14,,,,22.35859362760018,0,1
15,2023-03-23 17:30:00,Sell,Sell,Sell,12851.5,12851.5,12845.75,12845.75,263,False,-3.0,Sell,Sell,15,,,,17.988977905654085,0,1
16,2023-03-23 17:32:00,Sell,Sell,Sell,12845.75,12851.5,12845.75,12851.25,144,False,-3.0,Sell,Sell,16,,,,33.406309540355565,0,0
17,2023-03-23 17:34:00,Sell,Sell,Sell,12851.5,12852.75,12845.5,12847.0,292,False,-3.0,Sell,Sell,17,,,,28.8871955584212,0,1
18,2023-03-23 17:36:00,Sell,Sell,Sell,12847.25,12847.75,12845.5,12845.5,87,False,-3.0,Sell,Sell,18,,,,27.474521580102948,0,1
19,2023-03-23 17:38:00,Sell,Sell,Sell,12846.25,12847.5,12838.5,12839.0,374,False,-4.0,Sell,Sell,19,,,,22.369480480197637,0,1
20,2023-03-23 17:40:00,Sell,Sell,Sell,12838.5,12844.5,12838.5,12843.0,228,False,-4.0,Sell,Sell,20,,,,30.880838923195107,0,0
21,2023-03-23 17:42:00,Sell,Sell,Sell,12843.25,12843.25,12840.0,12840.25,113,False,-4.0,Sell,Sell,21,,,,28.562287363569258,0,1
22,2023-03-23 17:44:00,Sell,Sell,Sell,12841.0,12842.5,12839.25,12841.25,189,False,-4.0,Sell,Sell,22,,,,30.602719292472845,0,0
23,2023-03-23 17:46:00,Sell,Sell,Sell,12840.75,12842.5,12835.5,12839.0,355,False,-4.0,Sell,Sell,23,,,,28.621834414017957,0,1
24,2023-03-23 17:48:00,Sell,Sell,Sell,12839.0,12841.0,12838.75,12840.25,131,False,-4.0,Sell,Sell,24,,,,31.28302176111854,0,0
25,2023-03-23 17:50:00,Sell,Sell,Sell,12840.25,12842.5,12839.75,12842.25,116,False,-4.0,Sell,Sell,25,-7.938318288119262,,,35.43102086190528,0,0
26,2023-03-23 17:52:00,Sell,Sell,Sell,12843.0,12843.5,12839.75,12840.0,142,False,-4.0,Sell,Sell,26,-7.691945411008419,,,33.016438469752124,0,0
27,2023-03-23 17:54:00,Sell,Sell,Sell,12840.25,12843.0,12839.75,12843.0,90,False,-4.0,Sell,Sell,27,-7.171944491208706,,,38.98686206719665,0,0
28,2023-03-23 17:56:00,Sell,Sell,Sell,12843.0,12847.25,12842.75,12846.75,242,False,-4.0,Sell,Sell,28,-6.38365950286061,,,45.52331688135087,0,0
29,2023-03-23 17:58:00,Sell,Sell,Sell,12846.75,12848.75,12843.0,12846.75,246,False,-4.0,Sell,Sell,29,-5.6933090475722565,,,45.523316881350866,0,0
30,2023-03-23 18:00:00,Sell,Sell,Sell,12846.75,12851.0,12844.25,12850.0,365,False,-4.0,Sell,Sell,30,-4.828295909695953,,,50.81917312894491,0,0
31,2023-03-23 18:02:00,Buy1,Sell,Sell,12849.75,12857.25,12849.0,12857.0,484,True,1.0,Buy,,31,-3.5371511901666963,,,59.868398158167864,0,0
32,2023-03-23 18:04:00,,,Sell,12857.0,12857.0,12850.0,12853.5,286,True,1.0,,,32,-2.7644634333810245,,,54.47155244547943,0,0
33,2023-03-23 18:06:00,,,,12852.75,12853.0,12847.75,12847.75,147,True,1.0,,,33,-2.586266889647959,2.813216906314362,-5.399483795962321,46.97898773339639,0,0
34,2023-03-23 18:08:00,,,,12848.5,12851.25,12847.0,12850.0,177,True,1.0,,,34,-2.2376939065034094,2.529431911567129,-4.7671258180705385,49.88392752211872,0,0
35,2023-03-23 18:10:00,,,,12849.75,12853.5,12849.25,12852.5,127,True,1.0,,,35,-1.7396644307427778,2.421969109862209,-4.161633540604987,52.96733473709251,0,0
36,2023-03-23 18:12:00,,,,12851.5,12852.0,12850.0,12851.5,80,True,1.0,,,36,-1.4094172411223553,2.2017730395861053,-3.6111902807084606,51.59977490128196,0,0
37,2023-03-23 18:14:00,,,,12851.0,12853.5,12850.5,12852.75,119,True,1.0,,,37,-1.0348997308356047,2.061032439898285,-3.0959321707338896,53.225481755320516,0,0
38,2023-03-23 18:16:00,,,,12853.0,12858.0,12853.0,12856.75,444,True,1.0,,,38,-0.4105922828257462,2.148271910326515,-2.558864193152261,58.07804339833517,0,0
39,2023-03-23 18:18:00,Buy,,,12856.25,12860.5,12854.5,12859.75,335,True,2.0,Buy,Buy,39,0.32253283778482,2.3051176247496645,-1.9825847869648447,61.31922146432354,0,0
40,2023-03-23 18:20:00,Buy,Buy,,12860.5,12868.5,12859.75,12866.0,622,True,3.0,Buy,Buy,40,1.3918185267211811,2.699522650948821,-1.3077041242276397,67.03704705090783,0,0
41,2023-03-23 18:22:00,Buy,Buy,Buy,12866.0,12868.75,12866.0,12867.75,291,True,3.0,Buy,Buy,41,2.353317929429977,2.9288176429260933,-0.5754997134961163,68.4436303189669,0,0
42,2023-03-23 18:24:00,Buy,Buy,Buy,12867.75,12868.25,12865.5,12867.0,269,True,3.0,Buy,Buy,42,3.0199819295066845,2.8763853144022407,0.14359661510444394,67.12169516868092,0,0
43,2023-03-23 18:26:00,Buy,Buy,Buy,12867.5,12867.5,12863.75,12864.0,223,True,3.0,Buy,Buy,43,3.2685650414823613,2.499974741102334,0.7685903003800274,61.96613130050645,0,0
44,2023-03-23 18:28:00,Buy,Buy,Buy,12863.75,12865.0,12861.25,12863.75,195,True,3.0,Buy,Buy,44,3.406132265490669,2.110033572088513,1.2960986934021559,61.54191466400444,0,0
45,2023-03-23 18:30:00,Buy,Buy,Buy,12864.5,12865.25,12861.75,12864.75,156,True,3.0,Buy,Buy,45,3.5548686117599573,1.807015934686241,1.7478526770737162,62.64356411473607,0,0
46,2023-03-23 18:32:00,Buy,Buy,Buy,12864.75,12871.25,12864.0,12867.25,531,True,3.0,Buy,Buy,46,3.83031881340321,1.6659729090635946,2.164345904339615,65.31829959034009,0,0
47,2023-03-23 18:34:00,Buy,Buy,Buy,12867.0,12867.0,12865.25,12866.25,127,True,3.0,Buy,Buy,47,3.9227049393266498,1.4066872279896279,2.516017711337022,63.36394969943895,0,0
48,2023-03-23 18:36:00,Buy,Buy,Buy,12866.0,12866.75,12862.75,12863.25,139,True,3.0,Buy,Buy,48,3.7110678022072534,0.9560400726961853,2.755027729511068,57.778716899619106,0,0
49,2023-03-23 18:38:00,Buy,Buy,Buy,12863.0,12863.25,12860.0,12861.25,319,True,3.0,Buy,Buy,49,3.343419699880542,0.4707135762955792,2.8727061235849627,54.33988327363888,0,0
50,2023-03-23 18:40:00,Buy,Buy,Buy,12861.75,12863.0,12861.0,12861.75,107,True,3.0,Buy,Buy,50,3.057160705749993,0.1475636657320245,2.9095970400179687,55.05999695339878,0,0
51,2023-03-23 18:42:00,Buy,Buy,Buy,12861.25,12864.0,12861.25,12864.0,76,True,3.0,Buy,Buy,51,2.977531457292571,0.054347533819681715,2.923183923472889,58.250864165085574,0,0
52,2023-03-23 18:44:00,Buy,Buy,Buy,12864.25,12864.75,12855.0,12857.0,391,True,3.0,Buy,Buy,52,2.322807328646377,-0.48030127586120974,2.8031086045075866,47.05658266467657,0,0
53,2023-03-23 18:46:00,Buy,Buy,Buy,12857.0,12859.5,12856.75,12857.25,210,True,3.0,Buy,Buy,53,1.8033191101494594,-0.7998315954865016,2.603150705635961,47.445031908172005,0,0
54,2023-03-23 18:48:00,Buy,Buy,Buy,12857.75,12858.25,12855.0,12858.0,182,True,3.0,Buy,Buy,54,1.4355910858539573,-0.934047695825603,2.3696387816795603,48.661967158594024,0,0
55,2023-03-23 18:50:00,Buy,Buy,Buy,12857.75,12858.5,12854.5,12857.0,234,True,3.0,Buy,Buy,55,1.05135299176618,-1.0546286319307043,2.1059816236968842,47.09607507112637,0,0
56,2023-03-23 18:52:00,Buy,Buy,Buy,12857.0,12861.5,12855.75,12857.25,351,True,3.0,Buy,Buy,56,0.7582735392279574,-1.0781664675751415,1.8364400068030988,47.55047517122603,0,0
57,2023-03-23 18:54:00,Buy,Buy,Buy,12857.5,12858.5,12856.0,12857.25,112,True,3.0,Buy,Buy,57,0.5200115916359209,-1.0531427321337423,1.5731543237696632,47.55047517122603,0,0
58,2023-03-23 18:56:00,Buy,Buy,Buy,12857.5,12861.0,12856.0,12859.25,155,True,3.0,Buy,Buy,58,0.4869572270945355,-0.8689576773401022,1.3559149044346377,51.4217313455296,0,0
59,2023-03-23 18:58:00,Buy,Buy,Buy,12859.75,12867.0,12859.25,12865.0,502,True,3.0,Buy,Buy,59,0.9142000215160806,-0.3533719063348457,1.2675719278509263,60.4580403572213,0,0
60,2023-03-23 19:00:00,Buy,Buy,Buy,12866.0,12866.5,12857.25,12858.5,516,True,3.0,Buy,Buy,60,0.719997652229722,-0.43805942049696367,1.1580570727266857,49.29500811010955,0,0
61,2023-03-23 19:02:00,Buy,Buy,Buy,12859.0,12865.0,12857.5,12864.25,277,True,3.0,Buy,Buy,61,1.018329156038817,-0.11178233335029497,1.130111489389112,56.87986508075644,0,0
62,2023-03-23 19:04:00,Buy,Buy,Buy,12863.75,12864.25,12856.5,12859.25,257,True,3.0,Buy,Buy,62,0.8415993751950737,-0.23080969135523066,1.0724090665503043,49.89101307932249,0,0
63,2023-03-23 19:06:00,Buy,Buy,Buy,12859.0,12861.0,12856.5,12857.75,213,True,3.0,Buy,Buy,63,0.5738868759563047,-0.3988177524751998,0.9727046284315045,47.98612735715006,0,0
64,2023-03-23 19:08:00,Sell1,Buy,Buy,12857.25,12858.0,12847.0,12847.0,625,False,-1.0,Sell,,64,-0.49994926305953413,-1.178123113192831,0.6781738501332968,37.064125419969706,0,0
65,2023-03-23 19:10:00,,,Buy,12847.0,12853.25,12847.0,12852.5,361,False,-1.0,,,65,-0.8968300071519479,-1.2600030858281959,0.3631730786762478,44.07728474597118,0,0
66,2023-03-23 19:12:00,,,,12852.0,12854.75,12850.75,12852.75,202,False,-1.0,,,66,-1.1776131541537325,-1.2326289862639843,0.05501583211025177,44.38067605926293,0,0
67,2023-03-23 19:14:00,,,,12852.75,12855.5,12852.25,12855.5,180,False,-1.0,,,67,-1.1648066379384545,-0.975857976038965,-0.1889486618994895,47.73934435329934,0,0
68,2023-03-23 19:16:00,,,,12855.5,12860.75,12855.5,12859.0,396,False,-1.0,,,68,-0.8622966136899777,-0.5386783614323905,-0.32361825225758717,51.73419881864094,0,0
69,2023-03-23 19:18:00,,,,12859.5,12861.5,12857.0,12860.5,378,False,-1.0,,,69,-0.49580247374069586,-0.13774737718648689,-0.358055096554209,53.379007982098926,0,0
70,2023-03-23 19:20:00,,,,12861.0,12866.0,12860.25,12863.5,543,False,-1.0,,,70,0.03630321965283656,0.31548665296563644,-0.2791834333127999,56.566954036844955,0,0
