,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,slopes10,vol_gt2,macd_vol_gt1,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,date,uptrend,dates1,min_Close,max_Close,Buy_n,Buy_loss_limit,Sell_n,Sell_loss_limit,Sell_n_f,Buy_n_f,BS_list,a,as1,chk_repeat,Buy,Sell,Buy_zero,Buy_count_tmp,Buy_count,Sell_zero,Sell_count_tmp,Sell_count
10,2022-11-05 00:10:00,10705.25,10727.0,10705.25,10724.0,548668.3714285714,,,,,0,0,24.731083845863193,n,n,n,n,n,n,,False,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
11,2022-11-05 00:11:00,10720.5,10722.5,10712.0,10716.5,550225.6857142857,,,,,0,0,12.80426606528675,n,n,n,n,n,n,,False,,,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
12,2022-11-05 00:12:00,10716.5,10716.5,10695.75,10699.25,551533.8235294118,,,,,0,0,-46.6028509728083,n,n,n,n,n,n,2022-11-05 00:12:00,False,2022-11-05T00:05:00,,,,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
13,2022-11-05 00:13:00,10702.75,10704.25,10679.75,10682.0,554493.8918918918,,,,,0,0,-75.40121878859536,n,n,n,n,n,n,2022-11-05 00:13:00,False,2022-11-05T00:12:00,,,,,10682.0,10712.0,10682.0,,-1,-1,-1,0,NaN,10682.0,0,0,0,10682.0,1,1
14,2022-11-05 00:14:00,10681.5,10690.75,10681.5,10688.0,557099.75,,,,35.11705685618729,0,0,-78.52752674353853,n,n,n,n,n,n,,True,,10688.0,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
15,2022-11-05 00:15:00,10685.5,10702.75,10680.0,10698.75,559506.9722222222,,,,39.78032473734479,0,0,-77.00977111144049,n,n,n,n,n,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
16,2022-11-05 00:16:00,10698.75,10710.0,10695.25,10697.25,562052.9090909091,,,,39.355284198284636,0,0,-75.25643716352927,n,n,n,n,n,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
17,2022-11-05 00:17:00,10697.0,10708.5,10688.5,10704.5,563850.1428571428,,,,42.55035725446369,0,0,-68.01756179688137,n,n,n,n,n,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
18,2022-11-05 00:18:00,10704.5,10715.75,10704.5,10714.75,566042.3428571429,,,,46.81649910704015,0,0,-40.86477076964707,n,n,n,n,n,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
19,2022-11-05 00:19:00,10714.75,10732.75,10714.75,10732.0,568256.9117647059,,,,53.125166296655415,0,0,40.81508387488159,n,n,n,n,n,n,2022-11-05 00:19:00,True,2022-11-05T00:13:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
20,2022-11-05 00:20:00,10732.0,10736.75,10725.25,10734.0,570564.8888888889,,,,53.80929973961116,0,0,74.58704208324033,n,n,n,n,n,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
21,2022-11-05 00:21:00,10735.75,10739.25,10732.5,10737.75,572106.0285714286,,,,55.13159271192444,0,0,80.49762400082983,n,n,n,n,n,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
22,2022-11-05 00:22:00,10738.25,10738.25,10724.75,10724.75,573562.1515151515,,,,49.808396527580314,0,0,80.84425156987886,n,n,n,n,n,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
23,2022-11-05 00:23:00,10724.5,10724.5,10710.25,10715.5,575335.6666666666,,,,46.37709753930564,0,0,77.3930962948241,n,n,n,n,n,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
24,2022-11-05 00:24:00,10718.0,10734.5,10714.0,10734.5,576842.6666666666,,,,53.468039118408875,0,0,75.13743239234428,n,n,n,n,n,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
25,2022-11-05 00:25:00,10734.5,10740.0,10731.0,10737.0,578436.5277777778,,,,54.32392034926872,0,0,73.40052443546658,n,n,n,n,n,n,,True,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
26,2022-11-05 00:26:00,10736.25,10743.75,10735.75,10742.5,579930.1081081082,,,,56.231283229401654,0,0,69.51861416790594,n,n,n,n,n,n,2022-11-05 00:26:00,True,2022-11-05T00:19:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
27,2022-11-05 00:27:00,10742.5,10774.25,10741.0,10774.25,582406.9696969697,,,,65.25198341015931,0,0,74.74488129694222,n,n,n,n,n,n,2022-11-05 00:27:00,True,2022-11-05T00:26:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
28,2022-11-05 00:28:00,10778.0,10793.75,10773.5,10789.75,585293.8378378379,,,,68.6490198778984,0,0,79.39212509092849,n,n,n,n,n,n,2022-11-05 00:28:00,True,2022-11-05T00:27:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
29,2022-11-05 00:29:00,10789.75,10789.75,10776.75,10779.0,587621.8421052631,,,,63.977492955683836,0,0,81.46923439005187,n,n,n,n,n,n,,False,,,10779.0,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
30,2022-11-05 00:30:00,10778.75,10779.5,10774.0,10777.25,588969.8181818182,,,,63.223242556488934,0,0,82.36725850582256,n,n,n,n,n,n,,False,,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
31,2022-11-05 00:31:00,10775.25,10775.25,10763.5,10763.5,590457.6,,,,57.48844339134679,0,0,82.12881806316898,n,n,n,n,n,n,2022-11-05 00:31:00,False,2022-11-05T00:28:00,,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
32,2022-11-05 00:32:00,10763.5,10763.5,10752.75,10754.25,592029.2571428572,,,,53.94353843206473,0,0,79.35670622714038,n,n,n,n,n,n,,True,,10754.25,,,,,,,,0,0,-1,5,NaN,NaN,0,0,0,0,0,1
