,Datetime,Open,High,Low,Close,Volume,SMA_50,SMA_200,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,CUMLOGRET_1,SMA_5_CUMLOGRET,slopes10,vol_gt2,macd_vol_gt1,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,date,uptrend,dates1,min_Close,max_Close,T_Buy,T_Sell,BS_list,a,as1,chk_repeat,Buy,Sell,Buy_zero,Buy_count_tmp,Buy_count,Sell_zero,Sell_count_tmp,Sell_count
0,2022-11-11 00:00:00,11443.25,11447.75,11439.5,11447.25,451915.8125,,,,,,,,,,,,0.0,,,n,n,n,n,n,n,2022-11-11 00:00:00,True,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
1,2022-11-11 00:01:00,11447.25,11455.25,11445.5,11454.75,453411.0,,,,,,,,,,,,0.0006549646553236366,,,n,n,n,n,n,n,2022-11-11 00:01:00,True,2022-11-11T00:00:00,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
2,2022-11-11 00:02:00,11455.0,11455.0,11448.25,11452.25,455133.2571428571,,,,,,,,,,,,0.00043669076437985184,,,n,n,n,n,n,n,,False,,,11452.25,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
3,2022-11-11 00:03:00,11452.0,11455.25,11440.25,11440.25,456522.1875,,,,,,,,,,,,-0.0006116876214755448,,,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
4,2022-11-11 00:04:00,11439.25,11451.0,11438.0,11440.0,458449.3939393939,,,,,,,,,,,,-0.0006335405295521916,-3.071454626484959e-05,,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
5,2022-11-11 00:05:00,11439.5,11439.5,11428.25,11432.5,460298.70588235295,,,,,,,,,,,,-0.001289349931130769,-0.00028858453249100337,,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
6,2022-11-11 00:06:00,11433.75,11445.5,11430.75,11444.25,462306.24242424243,,,,,,,,,,,,-0.0002621060233863751,-0.00047199866823300577,,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
7,2022-11-11 00:07:00,11444.25,11447.5,11441.0,11446.25,463666.96875,,,,,,,,,,,,-8.736104139920268e-05,-0.0005768090293888168,,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
8,2022-11-11 00:08:00,11447.25,11455.75,11445.0,11451.75,465347.4,,,,,,,,,,,,0.00039303026838961207,-0.00037586545141578536,,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
9,2022-11-11 00:09:00,11449.25,11451.5,11445.75,11447.25,466930.45454545453,,,,,,,,,,,,0.0,-0.000249157345505347,-15.738801437449457,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
10,2022-11-11 00:10:00,11448.0,11457.0,11436.0,11441.75,468595.0,,,,,,,,,,,,-0.0004805802006077448,-8.740339940074216e-05,-21.200216655641018,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
11,2022-11-11 00:11:00,11442.5,11451.0,11438.0,11442.25,470419.23529411765,,,,,,,,,,,,-0.00043688154651937795,-0.00012235850402734274,5.710593137499643,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
12,2022-11-11 00:12:00,11442.5,11444.75,11433.0,11440.25,471606.73529411765,,,,,,,,,,,,-0.0006116876214755448,-0.00022722382004261116,24.874153914127643,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
13,2022-11-11 00:13:00,11438.0,11440.5,11432.75,11432.75,472622.1142857143,,,,,,,,,,,,-0.0012674826871680667,-0.0005593264111541469,-13.298570330494282,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
14,2022-11-11 00:14:00,11432.75,11441.75,11430.75,11431.25,473618.4,,,,,,,,,,,38.652482269503544,-0.0013986933241652575,-0.0008390650759871985,-43.34812436602385,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
15,2022-11-11 00:15:00,11431.25,11444.75,11431.25,11442.0,475159.7272727273,,,,,,,,,,,47.30552952202437,-0.00045873063486695975,-0.0008346951628390414,-55.57488796116737,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
16,2022-11-11 00:16:00,11442.0,11448.5,11440.0,11440.75,476284.9090909091,,,,,,,,,,,46.48448568999717,-0.0005679832379189595,-0.0008609155011189577,-53.957605109174345,n,n,n,n,n,n,,False,,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
17,2022-11-11 00:17:00,11440.75,11441.0,11417.5,11418.5,477931.02857142856,,,,,,,,,,,34.879805529886085,-0.002514679391694572,-0.0012415138551627632,-66.7474078251384,n,n,n,n,n,n,2022-11-11 00:17:00,False,2022-11-11T00:01:00,,,,,0,0,0,0,NaN,NaN,0,0,0,0,0,0
18,2022-11-11 00:18:00,11420.5,11421.75,11409.5,11412.5,480040.25,,,,,,,,,,,32.52199834477193,-0.00304028056011713,-0.001596073429752576,-71.00203169098721,n,n,n,n,n,n,,True,,11412.5,,11412.5,,1,1,1,0,11412.5,NaN,11412.5,1,1,0,0,0
19,2022-11-11 00:19:00,11412.5,11425.0,11412.25,11416.75,481696.3939393939,,,11415.982862712504,11438.7625,11461.542137287497,0.39828849121566023,0.016838224371481133,,,,35.83089046192045,-0.002667951197646003,-0.001849925004448725,-71.981153717243,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
20,2022-11-11 00:20:00,11416.75,11424.0,11415.25,11424.0,482698.54545454547,,,11414.304399556948,11437.6,11460.895600443053,0.40735120030517824,0.2080993891261493,,,,41.13386651441211,-0.0020331208839754734,-0.0021648030542704274,-70.6366021828173,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
21,2022-11-11 00:21:00,11424.0,11424.75,11412.25,11417.0,483642.3333333333,,,11412.16506117956,11435.7125,11459.25993882044,0.41182285442101174,0.10266379408200528,,,,37.8789745138161,-0.0026460537870139,-0.002580417164089416,-70.01689347810003,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
22,2022-11-11 00:22:00,11416.5,11428.25,11416.5,11428.25,484462.0625,,,11412.03669356397,11434.5125,11456.988306436031,0.39312225048562977,0.3606835305815436,,,,45.361905795929154,-0.0016611662581509283,-0.002409714537380687,-61.84075611415469,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
23,2022-11-11 00:23:00,11430.0,11446.5,11430.0,11446.0,485685.5,,,11411.894978714157,11434.8,11457.705021285841,0.4006195348557376,0.7444878758292985,,,,54.64493031335634,-0.0001092024942934413,-0.001823498924215949,-20.44179655841656,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
24,2022-11-11 00:24:00,11446.0,11453.5,11445.0,11453.25,487215.6285714286,,,11411.26421751859,11435.4625,11459.66078248141,0.42321475815096204,0.8675364153151314,,,,57.79879555980266,0.0005240060380594821,-0.001185107477074852,51.50895644050257,n,n,n,n,n,n,2022-11-11 00:24:00,True,2022-11-11T00:17:00,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
25,2022-11-11 00:25:00,11453.25,11455.0,11434.25,11444.75,489014.9142857143,,,11411.58923883254,11436.075,11460.560761167462,0.42821966745516327,0.6771437681816329,,,,53.13377492382854,-0.00021841691507416757,-0.0008221666832945909,70.81630625691625,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
26,2022-11-11 00:26:00,11443.0,11446.5,11437.5,11444.0,490563.20588235295,,,11411.593195249188,11436.0625,11460.531804750812,0.4279323368652754,0.6621930022293888,,,,52.729371894757435,-0.0002839512933402022,-0.00034974618455985135,77.0053832080835,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
27,2022-11-11 00:27:00,11444.75,11450.5,11441.0,11446.25,491607.67647058825,,,11411.593195249188,11436.0625,11460.531804750812,0.4279323368652754,0.7081689713652786,,,,53.86383699225531,-8.736104139920268e-05,-3.498514120950622e-05,77.17437977356497,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
28,2022-11-11 00:28:00,11446.75,11447.5,11440.5,11444.0,492627.70588235295,,,11411.97842851607,11435.675,11459.371571483929,0.4144324053268356,0.6756583226743678,,,,52.50677467496251,-0.0002839512933402022,-6.993490101885839e-05,74.44473509601481,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
29,2022-11-11 00:29:00,11445.25,11445.25,11438.0,11445.0,494235.14705882355,,,11412.066290199775,11435.5625,11459.058709800225,0.41093229651318314,0.7008302632688773,,,,53.0726628007,-0.00019657307667398058,-0.00021405072396555092,70.00674993929955,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
30,2022-11-11 00:30:00,11444.5,11447.5,11440.5,11443.0,494964.0882352941,,,11412.056748050054,11435.625,11459.193251949946,0.4121900106018864,0.6564604794547968,,,,51.74471919967408,-0.0003713371456263633,-0.00024463477007599004,62.686725581703,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
31,2022-11-11 00:31:00,11443.75,11454.25,11443.25,11452.25,495536.64705882355,,,11411.610463496607,11436.125,11460.639536503393,0.428721031002952,0.8288864955241569,,,,57.09211445701416,0.00043669076437985184,-0.00010050635853197924,42.978635059643985,n,n,n,n,n,n,,True,,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
32,2022-11-11 00:32:00,11452.0,11461.5,11448.0,11461.0,497100.2580645161,,,11410.38551594804,11437.1625,11463.93948405196,0.4682452321886572,0.9451117413698282,,,,61.44456685079278,0.0012004410333581478,0.00015705405641949088,36.02737338510361,n,n,n,n,n,n,2022-11-11 00:32:00,True,2022-11-11T00:24:00,,,,,0,0,1,5,NaN,NaN,0,0,1,0,0,0
