,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,MA10,MA20,MA50,old_slope20,old_slope,old_ma10_50,slopes,old_slope20s1,slope_chg_dn,slope_chg_up,slope_chg_up_s1,slope_chg_dn_s1,ma1s1,ma1s2,ma2s1,ma2s2,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,buy_price,Buy,Buy_zero,tot_buy,Buy_count_tmp,Buy_count,Sell,Sell_zero,tot_sell,Sell_count_tmp,Sell_count
0,2022-10-29 00:32:00,11492.0,11492.25,11487.0,11490.25,497244.0217391304,,,,,0,0,,,,0.0,0.0,0.0,,,NaN,NaN,,,,,,,NaN,NaN,,,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
1,2022-10-29 00:33:00,11490.25,11492.5,11488.5,11491.5,497871.4893617021,,,,,0,0,,,,0.0,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
2,2022-10-29 00:34:00,11491.5,11508.0,11490.5,11507.0,499583.8260869565,,,,,0,0,,,,0.0,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
3,2022-10-29 00:35:00,11507.0,11507.25,11497.25,11506.0,501667.914893617,,,,,0,0,,,,0.0,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
4,2022-10-29 00:36:00,11506.0,11506.25,11095.5,11095.5,598747.7037037037,,,,,0,0,,,,0.0,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
5,2022-10-29 00:37:00,11095.5,11095.5,11095.5,11095.5,762325.0,,,,,0,0,,,,0.0,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
6,2022-10-29 00:38:00,11095.5,11095.5,11095.5,11095.5,762325.0,,,,,0,0,,,,0.0,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
7,2022-10-29 00:39:00,11095.5,11095.5,11095.5,11095.5,762325.0,,,,,0,0,,,,0.0,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,,11298.9,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
8,2022-10-29 00:40:00,11095.5,11517.75,11095.5,11516.75,512277.0930232558,,,,,0,0,,,,0.0,0.0,0.0,,0.0,NaN,NaN,NaN,NaN,11298.9,11259.425,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
9,2022-10-29 00:41:00,11516.75,11518.25,11095.5,11095.5,520236.975,,,,,0,0,11298.9,,,0.0,-40.794715807135915,0.0,-88.58186451380791,0.0,NaN,NaN,NaN,NaN,11259.425,11219.825,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0.0,0,0,,0,0.0,0,0
