,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,min_Close,max_Close,T_Buy,T_Sell,BS_list,a,as1,chk_repeat,Buy,Sell,Buy_zero,Buy_count_tmp,Buy_count,Sell_zero,Sell_count_tmp,Sell_count
0,2022-12-22T18:37:00,11329.25,11331.25,11329.25,11331.0,37432.7037037037,,,,,0,0,11331.0,11331.0,11331.0,11331.0,0,0,0,0,11331.0,11331.0,11331.0,1,1,11331.0,1,1
1,2022-12-22T18:38:00,11330.75,11331.5,11330.0,11330.75,37475.71186440678,,,,,0,0,11330.75,11330.75,11330.75,11330.75,0,0,0,0,11330.75,11330.75,11330.75,1,2,11330.75,1,2
2,2022-12-22T18:39:00,11330.75,11331.5,11329.5,11330.0,37531.70175438596,,,,,0,0,11330.0,11330.0,11330.0,11330.0,0,0,0,0,11330.0,11330.0,11330.0,1,3,11330.0,1,3
3,2022-12-22T18:40:00,11329.75,11329.75,11325.25,11326.75,37664.06896551724,,,,,0,0,11326.75,11326.75,11326.75,11326.75,0,0,0,0,11326.75,11326.75,11326.75,1,4,11326.75,1,4
4,2022-12-22T18:41:00,11326.75,11328.25,11326.5,11327.25,37687.44827586207,,,,,0,0,11327.25,11327.25,11327.25,11327.25,0,0,0,0,11327.25,11327.25,11327.25,1,5,11327.25,1,5
5,2022-12-22T18:42:00,11327.25,11329.0,11326.5,11327.5,37750.666666666664,,,,,0,0,11327.5,11327.5,11327.5,11327.5,0,0,0,0,11327.5,11327.5,11327.5,1,6,11327.5,1,6
6,2022-12-22T18:43:00,11327.5,11328.25,11323.5,11323.5,37903.793103448275,,,,,0,0,11323.5,11323.5,11323.5,11323.5,0,0,0,0,11323.5,11323.5,11323.5,1,7,11323.5,1,7
7,2022-12-22T18:44:00,11323.5,11325.25,11322.0,11322.25,38078.58620689655,,,,,0,0,11322.25,11322.25,11322.25,11322.25,0,0,0,0,11322.25,11322.25,11322.25,1,8,11322.25,1,8
8,2022-12-22T18:45:00,11322.0,11323.5,11321.0,11322.5,38215.26666666667,,,,,0,0,11322.5,11322.5,11322.5,11322.5,0,0,0,0,11322.5,11322.5,11322.5,1,9,11322.5,1,9
9,2022-12-22T18:46:00,11322.25,11324.5,11319.75,11320.5,38348.7,,,,,0,0,11320.5,11320.5,11320.5,11320.5,0,0,0,0,11320.5,11320.5,11320.5,1,10,11320.5,1,10
10,2022-12-22T18:47:00,11320.5,11322.75,11320.5,11322.0,38511.333333333336,,,,,0,0,11322.0,11322.0,11322.0,11322.0,0,0,0,0,11322.0,11322.0,11322.0,1,11,11322.0,1,11
11,2022-12-22T18:48:00,11322.0,11323.25,11321.0,11322.0,38683.13333333333,,,,,0,0,11322.0,11322.0,11322.0,11322.0,0,0,0,0,11322.0,11322.0,11322.0,1,12,11322.0,1,12
12,2022-12-22T18:49:00,11322.0,11327.0,11321.5,11326.25,38800.32142857143,,,,,0,0,11326.25,11326.25,11326.25,11326.25,0,0,0,0,11326.25,11326.25,11326.25,1,13,11326.25,1,13
13,2022-12-22T18:50:00,11326.25,11327.5,11325.5,11326.75,38928.34482758621,,,,,0,0,11326.75,11326.75,11326.75,11326.75,0,0,0,0,11326.75,11326.75,11326.75,1,14,11326.75,1,14
14,2022-12-22T18:51:00,11327.5,11330.5,11327.5,11328.5,39087.392857142855,,,,54.90277342695842,0,0,11328.5,11328.5,11328.5,11328.5,0,0,0,0,11328.5,11328.5,11328.5,1,15,11328.5,1,15
15,2022-12-22T18:52:00,11328.75,11328.75,11325.25,11325.25,39199.107142857145,,,,43.729778251498175,0,0,11325.25,11325.25,11325.25,11325.25,0,0,0,0,11325.25,11325.25,11325.25,1,16,11325.25,1,16
16,2022-12-22T18:53:00,11326.5,11326.75,11324.5,11326.5,39275.96666666667,,,,48.10418348576222,0,0,11326.5,11326.5,11326.5,11326.5,0,0,0,0,11326.5,11326.5,11326.5,1,17,11326.5,1,17
17,2022-12-22T18:54:00,11326.5,11326.5,11323.25,11323.75,39352.793103448275,,,,40.62228081729979,0,0,11323.75,11323.75,11323.75,11323.75,0,0,0,0,11323.75,11323.75,11323.75,1,18,11323.75,1,18
18,2022-12-22T18:55:00,11323.75,11325.75,11322.5,11324.5,39453.8275862069,,,,43.21625981015587,0,0,11324.5,11324.5,11324.5,11324.5,0,0,0,0,11324.5,11324.5,11324.5,1,19,11324.5,1,19
19,2022-12-22T18:56:00,11324.5,11327.5,11324.5,11327.25,39533.71428571428,,,,51.57053420612396,0,0,11327.25,11327.25,11327.25,11327.25,0,0,0,0,11327.25,11327.25,11327.25,1,20,11327.25,1,20
